return_id,order_id,product_id,return_date,inspection_status,return_type
214,1880,444,2024-01-06,passed,replacement
215,3993,249,2024-07-19,failed,replacement
216,591,338,2023-03-11,failed,refund
217,2615,8,2025-11-26,failed,refund
218,945,43,2026-03-10,failed,refund
219,3541,422,2024-11-30,failed,replacement
220,534,479,2023-08-11,passed,refund
221,723,113,2025-12-14,failed,refund
222,1803,343,2023-07-29,passed,refund
223,3914,427,2026-01-20,passed,replacement
224,2132,426,2024-08-03,passed,replacement
225,3491,129,2023-06-25,failed,replacement
226,4208,113,2024-12-12,failed,replacement
227,265,358,2025-09-03,passed,refund
228,3242,130,2023-11-28,failed,replacement
229,3319,90,2024-05-30,failed,replacement
230,2434,119,2024-05-18,failed,replacement
231,2055,368,2024-04-26,passed,refund
232,4138,228,2023-12-26,passed,replacement
233,4545,55,2025-12-17,failed,replacement
234,3573,2,2024-09-10,passed,refund
235,1131,25,2023-12-11,passed,replacement
236,4951,412,2026-03-01,failed,replacement
237,3510,450,2026-04-22,passed,refund
238,1044,28,2023-04-19,failed,replacement
239,2118,195,2025-03-14,passed,refund
240,357,348,2026-01-23,failed,refund
241,2927,468,2024-05-06,failed,refund
242,4908,492,2023-09-23,failed,refund
243,2790,370,2026-08-02,passed,replacement
244,120,89,2024-07-16,failed,replacement
245,3503,97,2025-03-04,failed,replacement
246,1155,80,2023-04-26,failed,refund
247,1372,151,2025-03-13,failed,replacement
248,1885,330,2023-04-08,failed,replacement
249,3742,313,2026-04-27,failed,refund
250,2700,215,2025-04-12,passed,refund
