order_id,product_id,quantity,unit_price
48,326,2,4873
49,242,2,31952
49,165,5,236084
50,234,2,21558
50,488,5,5098
50,326,4,4873
50,397,2,9374
51,179,4,147980
52,261,4,110716
53,463,5,93210
53,381,4,3620
53,225,1,376537
53,27,3,156687
54,157,1,73175
54,312,5,3394
54,61,4,83470
55,414,5,278944
55,245,4,32690
55,460,3,3548
55,437,2,32226
55,472,1,36408
56,451,4,107375
57,88,2,34078
57,25,4,21895
57,381,2,3620
57,16,5,12466
58,5,5,43504
58,185,4,21284
59,83,5,117842
59,34,1,88927
60,352,4,165672
60,337,4,22216
60,7,3,256638
61,264,1,127162
61,38,1,23812
61,17,4,39052
62,404,5,80639
62,39,3,100595
63,91,5,6014
63,222,3,59357
63,149,3,9848
63,288,5,37239
63,403,1,204017
64,3,2,16395
64,181,1,135041
65,388,4,281397
65,151,4,159955
65,423,4,114188
66,239,2,104124
66,63,2,16864
66,203,2,12061
66,207,1,38826
66,124,1,72493
67,144,2,3348
67,320,4,353761
67,456,5,53827
68,112,5,20511
69,192,2,57730
70,398,5,122257
71,494,1,339385
71,60,4,91561
71,329,4,23164
71,488,5,5098
72,494,1,339385
72,473,4,35743
72,77,3,29468
72,31,4,4757
73,494,4,339385
73,99,4,318029
73,13,4,62062
73,279,5,26587
74,2,1,1161
74,460,3,3548
74,156,1,43299
75,210,5,233057
75,246,5,55705
75,351,3,30502
75,159,2,13360
76,335,3,325437
77,417,2,13389
77,237,2,19452
77,39,4,100595
78,277,4,97231
78,340,3,19725
78,241,5,8530
79,397,1,9374
79,228,5,59191
79,388,1,281397
79,59,3,16564
80,45,5,177896
81,296,3,26698
82,89,3,28187
83,3,1,16395
83,381,5,3620
84,173,4,65328
85,462,1,84658
85,149,2,9848
85,437,2,32226
86,394,2,26520
86,350,5,30892
86,284,3,216354
87,65,1,30850
87,340,5,19725
88,267,1,70542
88,300,5,19728
88,426,2,97056
88,402,4,30524
88,161,1,57428
89,167,1,349988
89,163,2,2388
89,244,4,81779
89,313,4,28221
90,78,2,46284
91,256,5,19337
91,344,5,209531
91,87,4,40788
92,157,1,73175
92,445,3,44894
92,240,2,11336
92,271,4,87661
93,357,1,89463
93,308,5,132875
93,469,4,25965
94,147,5,17331
94,462,2,84658
94,471,1,162289
94,200,3,17698
94,311,3,26373
95,150,3,9051
96,200,2,17698
97,4,2,16115
98,320,3,353761
98,146,4,25217
99,9,1,14154
99,28,4,262645
100,363,4,17442
100,372,2,135500
100,415,5,21167
100,457,5,43692
100,259,3,204654
101,82,3,137182
101,107,5,22966
101,14,5,44460
101,187,5,209644
101,409,4,353178
102,349,5,175402
102,237,5,19452
102,103,3,49500
102,498,2,232103
102,196,5,9369
103,362,5,163523
103,266,5,3862
104,395,2,12207
105,389,3,50329
105,439,5,76172
105,463,1,93210
105,300,3,19728
106,393,1,66531
106,329,4,23164
106,374,1,197138
106,193,2,21914
107,177,3,19098
107,205,4,15342
108,400,5,38896
109,176,4,282106
109,77,3,29468
110,292,1,38803
110,42,4,269340
111,473,5,35743
111,99,2,318029
111,24,2,151640
111,405,1,50824
112,221,2,166207
113,456,1,53827
113,147,4,17331
113,60,5,91561
114,465,4,18047
114,11,5,28502
114,50,4,31053
115,197,3,56261
115,263,5,181135
115,370,5,241518
116,46,2,29243
117,336,3,9486
118,348,3,203414
119,376,1,62184
119,301,1,163056
119,367,2,385569
119,447,2,17438
119,71,3,322513
120,133,5,5374
120,56,3,47059
120,475,4,364569
120,89,1,28187
121,263,5,181135
121,113,1,272293
121,496,1,15155
122,71,1,322513
122,215,5,24668
122,341,2,72235
122,266,1,3862
122,219,3,199512
123,73,2,190146
123,164,5,105636
123,237,5,19452
123,43,2,46765
123,9,3,14154
124,165,5,236084
125,71,1,322513
125,55,1,195035
126,215,4,24668
126,239,1,104124
127,213,5,12503
127,411,4,54390
127,402,1,30524
127,177,2,19098
128,139,3,33059
128,475,4,364569
129,72,2,13930
129,118,3,45795
130,39,3,100595
131,285,4,25867
131,129,4,5827
131,150,2,9051
132,163,4,2388
132,135,1,68026
132,452,2,10853
132,459,3,390475
133,25,5,21895
133,209,4,75954
133,78,1,46284
134,157,4,73175
134,278,2,213791
134,101,4,18123
134,253,1,33950
134,445,5,44894
135,309,2,6928
136,46,5,29243
136,115,5,46906
136,430,5,246618
136,433,1,104248
137,200,2,17698
137,477,2,222378
138,137,4,188948
138,375,2,304045
139,175,1,80636
140,405,3,50824
140,331,5,215153
140,220,3,30297
140,216,5,126332
140,221,2,166207
141,199,4,183584
142,255,3,5246
142,23,1,17339
142,249,1,26469
143,153,4,45281
143,188,3,29382
143,327,4,46032
143,92,2,49542
144,458,1,71947
144,203,5,12061
145,473,5,35743
145,254,1,37839
145,420,4,337141
145,491,3,329786
145,269,1,216861
146,17,3,39052
146,130,3,103020
146,331,4,215153
146,391,2,118125
147,380,1,76284
147,402,3,30524
147,154,1,87423
147,111,4,54394
147,242,3,31952
148,262,3,113819
148,118,2,45795
149,222,3,59357
149,274,1,29236
150,313,3,28221
151,243,5,37716
152,254,1,37839
152,359,1,153672
152,343,1,30610
152,262,5,113819
153,339,2,46398
153,71,1,322513
153,230,5,5812
153,170,3,22358
153,102,2,104057
154,456,1,53827
154,278,3,213791
154,484,1,38947
154,128,1,18782
155,224,5,178542
155,1,2,30460
155,37,3,95128
156,414,3,278944
157,248,3,63230
157,470,1,89384
157,262,2,113819
157,301,4,163056
157,163,5,2388
158,23,2,17339
158,324,1,246505
159,339,5,46398
159,157,2,73175
160,161,3,57428
160,284,2,216354
160,226,2,46493
161,410,1,25982
161,66,2,94469
161,135,4,68026
162,41,4,13733
163,278,2,213791
163,48,2,4403
163,191,3,67223
163,323,4,1715
163,416,4,29781
164,383,2,7803
164,66,2,94469
165,497,2,25163
166,222,3,59357
166,465,3,18047
166,406,3,45566
167,181,2,135041
167,20,3,40179
167,377,1,84604
167,412,2,63565
167,431,2,23838
168,242,4,31952
168,177,1,19098
168,255,5,5246
168,62,1,191660
169,179,5,147980
169,248,2,63230
170,92,4,49542
170,280,5,31887
171,87,4,40788
171,167,3,349988
172,266,1,3862
172,203,4,12061
173,319,5,13408
174,478,1,30883
174,32,5,27405
174,335,2,325437
174,476,3,6653
175,316,5,110095
175,116,5,139479
175,71,2,322513
176,1,5,30460
177,301,4,163056
177,154,4,87423
177,33,4,40980
177,424,5,71953
177,307,4,25820
178,335,1,325437
178,142,5,3835
179,53,1,174455
179,292,3,38803
179,459,2,390475
179,63,2,16864
179,193,3,21914
180,211,2,236041
180,260,3,198369
180,49,4,135654
180,315,5,254338
181,186,3,94727
181,182,3,100465
181,472,5,36408
181,339,3,46398
181,270,5,279510
182,314,1,291451
182,231,4,33257
183,110,2,89656
183,300,5,19728
183,223,1,50138
183,232,1,46489
184,349,2,175402
185,136,4,52918
185,474,3,19972
185,44,2,38256
185,319,2,13408
185,283,4,18422
186,127,1,72595
186,229,1,8418
186,498,3,232103
186,264,2,127162
186,459,4,390475
187,228,5,59191
187,270,4,279510
187,275,2,144381
188,160,3,31418
188,445,3,44894
188,255,3,5246
189,363,4,17442
189,39,1,100595
190,396,1,108856
191,33,5,40980
192,3,2,16395
192,226,2,46493
192,263,4,181135
193,353,2,64555
193,432,3,10521
193,54,1,253598
193,480,2,56026
194,41,2,13733
195,156,3,43299
196,243,3,37716
196,146,1,25217
196,284,5,216354
196,213,5,12503
197,148,3,36417
197,382,4,96598
197,459,1,390475
198,156,2,43299
198,256,1,19337
198,433,4,104248
199,73,1,190146
199,239,3,104124
199,137,2,188948
200,75,3,14201
200,36,2,39591
200,129,5,5827
200,248,5,63230
201,283,2,18422
201,59,4,16564
201,166,2,12541
202,231,5,33257
202,37,1,95128
203,399,1,70186
204,406,4,45566
204,438,4,23481
204,46,1,29243
205,487,2,46116
205,83,1,117842
206,104,2,14364
206,155,4,11589
206,244,4,81779
206,239,3,104124
207,385,4,130577
207,381,4,3620
207,18,3,106801
208,186,3,94727
208,6,5,46366
209,484,5,38947
209,42,3,269340
209,309,1,6928
209,471,2,162289
209,118,3,45795
210,26,4,17025
210,471,3,162289
211,103,1,49500
211,99,4,318029
211,284,2,216354
211,118,3,45795
212,211,4,236041
212,207,5,38826
212,447,1,17438
212,285,3,25867
213,263,3,181135
213,400,4,38896
214,95,5,39750
214,248,3,63230
215,180,4,95722
215,79,3,284973
215,328,2,322486
216,114,2,165626
216,89,4,28187
216,137,4,188948
216,146,3,25217
216,32,1,27405
217,441,5,39469
217,37,3,95128
218,470,3,89384
218,334,5,178337
218,276,4,31306
218,103,2,49500
218,6,5,46366
219,433,1,104248
219,55,1,195035
220,154,4,87423
220,402,4,30524
221,227,5,34328
221,387,4,72331
222,186,5,94727
222,94,3,58365
223,76,5,16359
223,397,3,9374
223,75,1,14201
223,250,4,57769
223,409,5,353178
224,37,1,95128
224,59,5,16564
224,225,4,376537
224,396,5,108856
225,90,4,46285
226,318,2,49519
227,36,5,39591
227,61,4,83470
227,46,5,29243
227,314,5,291451
228,330,5,13065
228,179,1,147980
229,167,2,349988
229,487,4,46116
230,166,5,12541
230,189,1,37505
230,495,4,21011
230,318,4,49519
230,407,5,90865
231,413,3,160936
231,479,1,124870
231,405,4,50824
232,421,5,16165
233,376,1,62184
233,424,3,71953
233,164,5,105636
233,446,1,28425
234,142,3,3835
235,357,2,89463
235,388,2,281397
235,111,5,54394
236,134,3,27301
236,241,2,8530
237,148,3,36417
237,28,3,262645
237,258,5,46266
237,295,4,4752
237,320,2,353761
238,167,5,349988
239,53,3,174455
239,18,5,106801
239,167,1,349988
240,212,1,5586
241,157,2,73175
241,1,2,30460
241,180,4,95722
242,347,5,17871
243,335,5,325437
243,437,4,32226
243,140,5,297192
243,224,3,178542
244,278,5,213791
245,269,2,216861
245,130,4,103020
245,335,2,325437
245,49,3,135654
245,394,4,26520
246,50,3,31053
246,155,4,11589
246,488,2,5098
246,328,3,322486
246,412,5,63565
247,292,4,38803
248,387,1,72331
248,158,2,186789
248,176,1,282106
248,60,3,91561
249,287,1,38127
249,257,4,48066
249,138,1,107533
249,353,2,64555
249,497,3,25163
250,44,4,38256
250,16,4,12466
250,440,1,45817
251,63,4,16864
251,156,5,43299
251,207,2,38826
251,406,4,45566
251,107,3,22966
252,409,4,353178
252,56,4,47059
252,106,4,322592
253,135,4,68026
253,421,4,16165
254,240,3,11336
254,305,1,133725
254,165,2,236084
254,192,1,57730
255,137,1,188948
256,423,4,114188
256,430,3,246618
256,179,1,147980
256,148,2,36417
257,10,3,23500
257,375,1,304045
257,302,1,174010
257,79,4,284973
257,73,5,190146
258,248,2,63230
258,490,1,21175
258,152,4,18477
259,361,4,15440
259,53,5,174455
259,282,4,79545
259,298,5,33167
259,397,2,9374
260,174,1,14927
260,370,2,241518
261,254,4,37839
261,301,1,163056
261,235,2,12586
262,454,2,31060
262,412,3,63565
262,383,2,7803
262,430,3,246618
263,98,2,33877
263,256,2,19337
263,247,3,3753
263,331,3,215153
264,370,4,241518
264,293,2,60030
264,500,4,26997
264,183,3,25987
264,353,4,64555
265,396,5,108856
265,358,4,161738
265,409,1,353178
266,361,1,15440
266,236,2,17489
266,19,2,46145
266,13,1,62062
267,5,4,43504
267,118,2,45795
267,375,5,304045
268,250,4,57769
268,4,5,16115
268,113,2,272293
268,439,4,76172
269,447,5,17438
269,4,5,16115
270,223,4,50138
270,361,3,15440
270,70,2,97975
271,427,3,11528
272,241,3,8530
272,461,4,4179
273,333,5,33838
273,497,4,25163
273,467,3,64096
273,315,3,254338
273,211,3,236041
274,347,2,17871
275,372,5,135500
276,397,4,9374
276,329,1,23164
276,189,4,37505
277,7,2,256638
277,429,2,25549
277,293,4,60030
278,25,2,21895
278,54,5,253598
278,454,2,31060
278,106,1,322592
278,457,2,43692
279,269,5,216861
279,214,2,135750
279,330,1,13065
279,417,4,13389
280,433,5,104248
280,136,1,52918
280,402,1,30524
280,383,1,7803
280,296,2,26698
281,92,3,49542
281,273,1,21099
281,444,5,36153
281,228,5,59191
282,179,3,147980
282,288,3,37239
282,64,1,16958
282,342,3,49463
283,144,3,3348
283,423,1,114188
283,307,3,25820
283,380,5,76284
284,364,3,11269
284,366,3,6107
284,356,2,13766
284,360,1,41689
284,442,5,33478
285,94,4,58365
285,176,4,282106
285,194,4,278145
286,284,4,216354
286,80,4,27685
287,345,1,205943
287,365,2,1681
287,152,2,18477
288,292,4,38803
289,390,1,77909
289,385,3,130577
290,298,3,33167
290,267,1,70542
290,312,1,3394
290,467,4,64096
290,233,1,70397
291,332,2,90588
291,270,1,279510
291,191,3,67223
292,19,5,46145
292,356,4,13766
292,259,5,204654
293,314,3,291451
293,308,4,132875
294,353,3,64555
294,144,5,3348
295,24,3,151640
295,316,2,110095
295,242,4,31952
296,13,4,62062
296,414,4,278944
296,482,5,202407
296,302,5,174010
296,201,1,31948
297,266,1,3862
298,409,5,353178
298,356,5,13766
298,363,2,17442
298,178,2,42065
299,357,4,89463
299,182,3,100465
299,81,1,16640
300,16,4,12466
300,424,4,71953
300,463,5,93210
301,256,5,19337
301,329,4,23164
302,313,2,28221
302,271,1,87661
302,125,2,3329
302,64,2,16958
303,181,2,135041
303,195,2,45299
303,389,1,50329
303,30,5,18635
303,27,1,156687
304,178,2,42065
304,151,5,159955
305,482,3,202407
306,444,3,36153
306,173,1,65328
306,118,1,45795
306,175,4,80636
306,295,5,4752
307,71,5,322513
307,499,4,6622
308,232,3,46489
309,377,4,84604
309,71,1,322513
309,475,5,364569
310,276,4,31306
310,91,5,6014
310,374,4,197138
310,62,5,191660
311,486,1,12910
312,335,1,325437
312,454,1,31060
312,26,2,17025
312,45,5,177896
312,241,1,8530
313,299,5,244845
313,103,2,49500
313,298,5,33167
313,264,2,127162
314,473,1,35743
315,180,1,95722
315,396,4,108856
316,405,2,50824
316,454,4,31060
316,451,1,107375
316,317,1,6176
316,98,4,33877
317,431,5,23838
317,112,5,20511
317,116,2,139479
318,178,4,42065
318,160,5,31418
318,302,3,174010
318,149,2,9848
319,19,4,46145
320,164,1,105636
320,285,4,25867
320,358,5,161738
320,87,5,40788
320,324,1,246505
321,334,3,178337
321,398,1,122257
321,144,3,3348
322,357,5,89463
322,200,4,17698
322,82,2,137182
322,110,4,89656
323,454,4,31060
323,424,4,71953
324,466,3,56723
324,423,2,114188
324,480,4,56026
324,134,2,27301
325,237,2,19452
325,182,5,100465
325,449,1,245241
326,91,1,6014
326,209,4,75954
326,476,4,6653
327,461,5,4179
327,271,2,87661
327,208,5,109078
328,369,4,12491
328,201,3,31948
328,470,1,89384
329,112,3,20511
330,375,5,304045
331,75,4,14201
331,309,2,6928
332,288,3,37239
332,317,4,6176
332,397,4,9374
332,311,5,26373
333,308,5,132875
333,65,3,30850
333,90,1,46285
333,488,2,5098
334,159,2,13360
334,137,3,188948
334,452,3,10853
334,184,4,94140
335,404,3,80639
335,41,3,13733
335,369,5,12491
335,98,1,33877
335,323,5,1715
336,132,3,50067
337,253,2,33950
337,81,5,16640
337,164,5,105636
337,352,3,165672
338,476,1,6653
338,479,1,124870
338,168,1,50130
338,251,4,136070
338,321,1,117567
339,439,3,76172
339,74,4,66338
339,236,3,17489
339,412,1,63565
340,293,3,60030
340,142,5,3835
340,257,1,48066
340,408,2,169925
340,146,2,25217
341,130,4,103020
341,424,4,71953
341,470,1,89384
341,429,2,25549
342,245,3,32690
342,338,2,21332
342,205,2,15342
342,28,1,262645
342,118,5,45795
343,69,1,341185
343,197,3,56261
343,335,2,325437
343,290,1,195202
344,370,3,241518
345,443,1,15672
345,170,4,22358
346,292,1,38803
346,374,1,197138
346,468,3,28516
347,131,4,24943
347,470,2,89384
347,277,1,97231
348,314,2,291451
348,428,2,101575
348,419,1,78777
348,166,4,12541
348,289,1,50842
349,276,2,31306
349,428,2,101575
350,222,5,59357
350,449,1,245241
350,207,3,38826
350,495,4,21011
351,433,1,104248
352,171,1,24723
352,20,5,40179
352,220,2,30297
352,214,3,135750
352,296,1,26698
353,388,5,281397
353,174,3,14927
353,135,2,68026
353,221,1,166207
353,97,1,29008
354,415,2,21167
354,97,1,29008
354,482,5,202407
354,421,5,16165
355,335,3,325437
355,201,1,31948
356,221,1,166207
356,401,5,14740
356,227,4,34328
356,53,3,174455
357,375,5,304045
357,222,4,59357
357,59,4,16564
357,348,4,203414
358,340,4,19725
358,44,4,38256
358,375,3,304045
358,95,5,39750
358,425,5,55700
359,44,1,38256
359,488,4,5098
359,363,2,17442
359,139,4,33059
360,312,4,3394
361,175,3,80636
361,312,4,3394
361,498,5,232103
361,32,5,27405
361,191,3,67223
362,231,1,33257
362,312,2,3394
362,50,3,31053
363,347,1,17871
364,101,4,18123
364,92,1,49542
364,493,1,89214
364,130,3,103020
364,10,3,23500
365,336,4,9486
365,314,1,291451
365,255,5,5246
365,35,5,10454
366,340,1,19725
366,336,5,9486
367,34,5,88927
367,299,5,244845
367,392,3,96682
367,278,2,213791
367,474,1,19972
368,430,3,246618
368,117,3,64514
368,266,2,3862
369,206,2,161706
369,72,2,13930
370,29,1,217876
370,87,2,40788
370,187,1,209644
370,409,4,353178
371,48,3,4403
371,341,4,72235
372,483,3,19217
373,199,1,183584
373,10,4,23500
374,441,4,39469
374,25,2,21895
374,249,2,26469
374,4,4,16115
374,467,4,64096
375,429,4,25549
375,1,3,30460
375,388,1,281397
376,246,2,55705
376,498,2,232103
377,489,5,83195
377,420,3,337141
377,2,4,1161
377,495,3,21011
377,497,3,25163
378,403,1,204017
378,438,5,23481
378,471,5,162289
379,16,2,12466
379,258,3,46266
379,477,4,222378
380,423,2,114188
380,344,4,209531
381,448,5,12674
381,385,2,130577
381,257,2,48066
381,3,2,16395
381,192,3,57730
382,409,4,353178
382,382,4,96598
383,119,4,126842
383,210,3,233057
383,68,4,25262
384,405,3,50824
384,88,1,34078
384,490,3,21175
384,266,5,3862
385,208,3,109078
386,6,3,46366
386,34,3,88927
386,456,4,53827
386,250,3,57769
387,464,5,50392
387,40,5,366700
387,144,2,3348
387,54,1,253598
388,115,1,46906
388,294,1,24516
388,491,2,329786
388,4,2,16115
388,2,3,1161
389,41,3,13733
389,87,1,40788
390,50,4,31053
390,461,2,4179
390,284,5,216354
391,475,1,364569
391,87,4,40788
391,51,4,63866
391,103,4,49500
392,347,5,17871
392,473,2,35743
393,358,5,161738
394,26,5,17025
394,362,5,163523
394,260,4,198369
394,384,1,12824
394,36,1,39591
395,77,4,29468
395,206,3,161706
396,18,5,106801
396,331,5,215153
396,250,3,57769
397,327,5,46032
397,103,1,49500
398,37,3,95128
398,299,5,244845
399,474,2,19972
400,16,5,12466
400,128,4,18782
400,10,4,23500
400,458,3,71947
400,47,3,97070
401,74,2,66338
401,241,2,8530
402,464,4,50392
402,300,3,19728
402,268,2,245217
402,63,3,16864
403,484,1,38947
403,99,1,318029
404,146,2,25217
404,262,2,113819
404,49,4,135654
404,410,3,25982
405,39,3,100595
405,335,2,325437
405,1,4,30460
405,25,2,21895
405,17,5,39052
406,75,3,14201
407,206,4,161706
407,306,4,21631
407,274,1,29236
408,176,1,282106
408,78,3,46284
409,62,2,191660
409,218,3,23819
409,113,3,272293
410,450,5,18155
410,148,5,36417
410,308,2,132875
410,213,2,12503
411,119,3,126842
411,212,2,5586
411,487,3,46116
411,259,4,204654
412,129,2,5827
412,245,4,32690
412,187,4,209644
412,259,2,204654
412,342,2,49463
413,261,5,110716
413,212,5,5586
413,34,2,88927
414,274,3,29236
414,171,5,24723
414,74,5,66338
414,482,2,202407
415,70,3,97975
416,421,4,16165
416,95,5,39750
416,197,2,56261
416,117,2,64514
416,180,5,95722
417,482,4,202407
417,230,2,5812
417,118,3,45795
418,216,5,126332
418,35,1,10454
419,228,1,59191
419,411,3,54390
419,174,3,14927
420,312,2,3394
420,488,2,5098
421,20,5,40179
421,423,3,114188
421,427,2,11528
421,83,1,117842
422,421,1,16165
423,145,4,213841
423,164,4,105636
423,130,2,103020
423,294,2,24516
424,130,4,103020
425,79,4,284973
425,349,3,175402
425,453,3,96234
425,371,2,6925
426,384,3,12824
426,294,3,24516
427,256,2,19337
428,390,2,77909
428,85,3,11618
429,166,1,12541
429,145,3,213841
429,233,5,70397
429,373,2,16339
430,448,2,12674
431,42,5,269340
431,442,4,33478
431,308,5,132875
431,172,3,113684
431,477,1,222378
432,54,1,253598
433,102,3,104057
433,149,5,9848
434,289,5,50842
434,343,2,30610
434,195,3,45299
434,417,4,13389
434,485,1,23113
435,367,4,385569
435,297,1,152414
435,408,4,169925
436,467,4,64096
436,126,5,26687
436,15,2,53076
437,290,2,195202
437,260,2,198369
437,9,2,14154
437,385,2,130577
438,56,2,47059
438,10,3,23500
438,448,2,12674
438,42,2,269340
438,103,5,49500
439,216,1,126332
440,88,2,34078
440,80,3,27685
441,63,1,16864
441,228,5,59191
441,107,3,22966
441,21,5,4967
442,64,1,16958
442,17,3,39052
443,331,2,215153
444,419,2,78777
444,354,3,49452
444,49,1,135654
445,394,3,26520
445,179,4,147980
446,265,5,228182
446,206,1,161706
447,409,5,353178
447,94,2,58365
447,284,5,216354
447,22,1,140911
448,68,3,25262
448,87,2,40788
448,449,3,245241
449,128,2,18782
449,432,5,10521
449,346,3,13653
449,47,4,97070
450,476,1,6653
450,392,4,96682
451,325,4,17404
451,161,4,57428
451,38,2,23812
451,448,2,12674
451,47,1,97070
452,371,5,6925
453,336,3,9486
453,229,4,8418
453,38,2,23812
453,332,3,90588
454,13,3,62062
454,358,1,161738
455,83,3,117842
455,460,3,3548
455,484,2,38947
455,398,2,122257
456,493,1,89214
456,128,2,18782
456,326,3,4873
456,139,5,33059
457,278,2,213791
458,210,5,233057
459,406,4,45566
459,241,4,8530
459,48,2,4403
459,447,2,17438
460,304,2,52325
460,261,5,110716
461,140,2,297192
461,43,1,46765
461,346,2,13653
461,19,1,46145
462,171,2,24723
462,405,5,50824
463,138,5,107533
463,195,4,45299
463,435,4,2101
463,331,2,215153
464,99,1,318029
464,153,1,45281
464,79,3,284973
464,85,3,11618
464,208,2,109078
465,370,2,241518
465,231,4,33257
465,355,4,32016
465,18,3,106801
466,400,5,38896
466,464,3,50392
466,51,4,63866
467,311,4,26373
467,115,3,46906
467,399,1,70186
467,224,2,178542
467,255,5,5246
468,60,4,91561
468,202,4,30734
469,18,5,106801
470,490,3,21175
471,421,3,16165
472,321,2,117567
472,400,4,38896
472,58,5,18434
472,38,4,23812
473,213,4,12503
473,234,1,21558
474,417,2,13389
474,256,2,19337
474,203,5,12061
474,478,1,30883
474,328,4,322486
475,244,2,81779
475,367,1,385569
475,439,2,76172
475,347,5,17871
475,10,5,23500
476,271,3,87661
476,149,5,9848
476,14,4,44460
477,457,1,43692
477,125,4,3329
478,85,3,11618
478,116,1,139479
478,141,5,26582
478,487,3,46116
479,17,4,39052
479,279,5,26587
479,446,3,28425
480,139,5,33059
480,215,3,24668
480,250,1,57769
481,286,4,6843
481,150,5,9051
482,49,2,135654
482,405,1,50824
483,246,1,55705
483,444,1,36153
483,35,5,10454
483,33,3,40980
484,99,2,318029
485,20,3,40179
486,288,3,37239
487,227,5,34328
488,345,1,205943
488,423,2,114188
488,32,5,27405
488,182,5,100465
488,162,5,214499
489,392,2,96682
489,284,5,216354
490,350,4,30892
490,270,4,279510
490,62,4,191660
490,191,2,67223
491,158,2,186789
491,127,3,72595
491,77,5,29468
492,285,5,25867
492,161,4,57428
492,279,2,26587
492,50,2,31053
493,158,1,186789
493,130,2,103020
493,299,1,244845
493,483,3,19217
493,399,4,70186
494,282,1,79545
494,418,4,74261
494,165,4,236084
494,454,4,31060
494,179,1,147980
495,443,1,15672
495,380,4,76284
496,42,3,269340
496,322,2,69626
496,214,3,135750
496,92,2,49542
497,133,3,5374
497,479,4,124870
497,267,1,70542
497,488,4,5098
498,334,4,178337
498,446,3,28425
498,166,1,12541
499,354,3,49452
499,260,2,198369
499,171,4,24723
500,248,2,63230
501,175,1,80636
502,254,2,37839
502,446,1,28425
503,334,4,178337
503,285,3,25867
504,106,2,322592
504,154,2,87423
504,280,5,31887
504,430,1,246618
505,231,4,33257
505,111,3,54394
506,435,1,2101
506,298,1,33167
507,97,5,29008
508,437,5,32226
508,241,2,8530
508,44,3,38256
509,455,3,21022
509,193,5,21914
510,12,3,19732
511,499,4,6622
511,133,5,5374
511,422,5,84671
511,300,5,19728
512,100,2,42292
512,73,2,190146
512,193,4,21914
512,361,1,15440
513,95,5,39750
513,318,4,49519
513,44,3,38256
513,224,2,178542
514,225,2,376537
515,129,4,5827
515,150,1,9051
515,292,2,38803
515,58,4,18434
516,82,3,137182
516,108,3,14119
516,488,2,5098
516,121,3,295195
517,49,5,135654
517,270,3,279510
517,115,5,46906
517,171,2,24723
518,216,3,126332
518,69,1,341185
519,469,3,25965
520,420,1,337141
520,427,5,11528
520,237,5,19452
521,331,1,215153
521,215,5,24668
521,185,5,21284
521,68,4,25262
521,370,2,241518
522,237,3,19452
522,259,4,204654
523,63,4,16864
523,100,1,42292
523,202,3,30734
523,235,5,12586
523,129,4,5827
524,208,5,109078
524,305,3,133725
525,207,3,38826
525,133,4,5374
525,320,5,353761
525,306,4,21631
525,255,4,5246
